p,d,q,seasonal_order,aic,bic,converged,fit_seconds,error
3,0,1,"(1, 1, 1, 24)",7324.725071720296,7360.771344201322,False,9.0,
3,0,2,"(1, 1, 1, 24)",7373.621661291425,7414.173717832579,False,10.2,
3,0,3,"(1, 1, 1, 24)",7318.3829901908675,7363.425871926234,False,12.4,
3,0,4,"(1, 1, 1, 24)",7259.5994502495,7309.130140754572,False,10.3,
3,0,5,"(1, 1, 1, 24)",7269.323435956932,7323.338912003417,False,12.2,
3,0,6,"(1, 1, 1, 24)",7303.970756245188,7362.4679877737135,False,18.9,
3,1,0,"(1, 1, 1, 24)",7321.6358839917275,7353.165901206484,False,7.1,
3,1,1,"(1, 1, 1, 24)",7274.96686280701,7311.001168195304,False,8.9,
3,1,2,"(1, 1, 1, 24)",7305.930648019549,7346.469241581379,False,11.7,
3,1,3,"(1, 1, 1, 24)",7350.3354414235155,7395.363341882672,False,11.3,
3,1,4,"(1, 1, 1, 24)",7348.276701254328,7397.790887630273,False,12.5,
3,1,5,"(1, 1, 1, 24)",7325.267489190128,7379.264933677998,False,15.7,
3,1,6,"(1, 1, 1, 24)",7309.852936120337,7368.330604063531,False,17.5,
3,2,0,"(1, 1, 1, 24)",7587.738797410606,7619.2583277320155,True,8.1,
3,2,1,"(1, 1, 1, 24)",7457.868006924705,7493.89032729203,False,12.3,
3,2,2,"(1, 1, 1, 24)",7461.577222205273,7502.102332618513,False,11.3,
3,2,3,"(1, 1, 1, 24)",7437.706227121645,7482.719123827049,False,11.5,
3,2,4,"(1, 1, 1, 24)",7434.198308453459,7483.695965900673,False,14.9,
3,2,5,"(1, 1, 1, 24)",7423.28325087147,7477.2626366651875,False,14.8,
3,2,6,"(1, 1, 1, 24)",7384.3083557345835,7442.766430607,False,20.8,
4,0,0,"(1, 1, 1, 24)",7263.542473077633,7299.5767784659265,True,7.2,
4,0,1,"(1, 1, 1, 24)",7322.427161898536,7362.9657554603655,False,9.2,
4,0,2,"(1, 1, 1, 24)",7346.077509261868,7391.120390997235,False,9.2,
4,0,3,"(1, 1, 1, 24)",7349.55086698298,7399.098036891883,False,11.7,
4,0,4,"(1, 1, 1, 24)",7315.650042134337,7369.6835226853245,False,11.8,
4,0,5,"(1, 1, 1, 24)",7313.541764471426,7372.058530188451,False,12.4,
4,0,6,"(1, 1, 1, 24)",7303.516595148003,7366.513613717185,False,17.3,
4,1,0,"(1, 1, 1, 24)",7300.2464392394695,7336.268759606794,False,10.0,
4,1,1,"(1, 1, 1, 24)",7354.359559778022,7394.884670191263,False,14.7,
4,1,2,"(1, 1, 1, 24)",7375.874255468707,7420.9021559278635,False,12.8,
